SITE,TRANSECT,LINK,REP,DATE_,JULIAN,nad84_2N_x,nad84_2N_y,OLD_WP,NEW_WP,TYPE,wgs84_x,wgs84_y
STMA,15,M15.0,1,01/06/2003,152,400710,6697930,M15STX,15NS152033,E,-172.80237516100,60.40549534900
STMA,15,M15.0,1,01/06/2003,152,404246,6701470,M15NTX,15NS152001,S,-172.73992013700,60.43811810100
STMA,16,M16.0,1,01/06/2003,152,401769,6697013,M16STX,16SN152001,S,-172.78271246900,60.39752451800
STMA,16,M16.0,1,01/06/2003,152,404881,6699999,41X,16SN152042,B/E,-172.72768717500,60.42506656000
STMA,17,M17.0,1,29/05/2003,149,402846,6695848,M17STX,17AB149001,S,-172.76261266000,60.38732938600
STMA,17,M17.0,2,14/06/2003,165,402847,6695848,M17STX,17RAC165032,E,-172.76259452700,60.38732962600
STMA,17,M17.0,1,11/06/2003,162,406737,6699721,M17NTX,17CD162001,S,-172.69386387900,60.42300427900
STMA,18,M18.0,1,29/05/2003,149,403690,6694563,M18STX,18CB149001,S,-172.74669127400,60.37599883500
STMA,18,M18.0,1,29/05/2003,149,408051,6698921,M18NTX,18BA149024,E,-172.66964281300,60.41612554100
STMA,19,M19.0,1,29/05/2003,149,404494,6693236,M19STX,19SN149001,S,-172.73148578000,60.36427994900
STMA,19,M19.0,1,29/05/2003,149,409238,6697984,M19NTX,19SN149056,E,-172.64767422400,60.40798428700
STMA,20,M20.0,1,01/06/2003,152,405895,6692482,M20STX,20BC152053,E,-172.70574615400,60.35784090700
STMA,20,M20.0,1,01/06/2003,152,410670,6697152,M20NTX,20AB152001,S,-172.62131904800,60.40083593400
STMA,21,M21.0,1,12/06/2003,163,407702,6692192,M21STX,21BC163041,E,-172.67287602800,60.35565389400
STMA,21,M21.0,1,12/06/2003,163,411049,6695538,11X,21BC163001,B/S,-172.61372639300,60.38643356500
STMA,21,M21.1,1,08/06/2003,159,411589,6696107,M21S2X,21BA159001,S,-172.60418570200,60.39165880400
STMA,21,M21.1,1,08/06/2003,159,411885,6696406,M21NTX,21BA159008,E,-172.59894901700,60.39440697600
STMA,22,M22.3,1,05/06/2003,156,408502,6690878,M22STX,22DE156012,E,-172.65778483700,60.34404217300
STMA,22,M22.3,1,05/06/2003,156,410338,6692666,M22L4X,22DE156001,S,-172.62533443000,60.36050005900
STMA,22,M22.2,1,05/06/2003,156,410890,6693262,M22L3X,22CD156002,E,-172.61559766100,60.36597108400
STMA,22,M22.2,1,05/06/2003,156,411100,6693454,M22L2X,22CD156001,S,-172.61187720000,60.36774047600
STMA,22,M22.1,1,05/06/2003,156,411258,6693637,M22L1X,22BC156006,E,-172.60909478700,60.36941759600
STMA,22,M22.1,1,05/06/2003,156,411725,6694081,M22LSX,22BC156001,S,-172.60082648200,60.37350468300
STMA,22,M22.0,1,19/06/2003,170,413119,6695492,M22LNX,22AB170004,E,-172.57617033700,60.38647044400
STMA,22,M22.0,1,19/06/2003,170,413400,6695796,M22NTX,22AB170001,S,-172.57120628700,60.38925918700
STMA,23,M23.0,1,05/06/2003,156,409792,6690047,M23STX,23DC156001,S,-172.63405071400,60.33687297000
STMA,23,M23.0,1,05/06/2003,156,412425,6692692,M23L1X,23DC156016,B/E,-172.58753167500,60.36118999900
STMA,23,M23.1,1,05/06/2003,156,412500,6692823,M23L2X,23CB156001,B/S,-172.58622985800,60.36238197500
STMA,23,M23.1,1,05/06/2003,156,413070,6693387,M23LSX,23CB156006,E,-172.57614584800,60.36756681600
STMA,23,M23.2,1,19/06/2003,170,414679,6694971,2X,23AB170003,B/E,-172.54765991600,60.38212617000
STMA,23,M23.2,1,19/06/2003,170,414895,6695214,M23NTX,23AB170001,S,-172.54384678700,60.38435269000
STMA,24,M24.0,1,05/06/2003,156,411064,6689064,M24STX,24BC156055,E,-172.61058557200,60.32833129700
STMA,24,M24.0,1,05/06/2003,156,416583,6694718,M24NX,24AB156001,S,-172.51303214500,60.38025226200
STMA,25,M25.0,1,19/06/2003,170,412050,6688081,M25STX,25DC170001,S,-172.59230821000,60.31972353200
STMA,25,M25.0,1,05/06/2003,156,418844,6694864,M25NTX,25AB156001,S,-172.47209749100,60.38202240100
STMA,26,M26.0,1,15/06/2003,166,414883,6688755,M26STX,26DC166001,S,-172.54132548200,60.32637728000
STMA,26,M26.0,1,15/06/2003,166,421509,6695411,M26NTX,26AB166001,S,-172.42398955900,60.38745788600
STMA,27,M27.0,1,15/06/2003,166,418025,6689751,M27STX,27NS166069,E,-172.48485875100,60.33596432700
STMA,27,M27.0,1,15/06/2003,166,423296,6695138,M27NTX,27NS166001,S,-172.39147690900,60.38535012300
STMA,28,M28.0,1,15/06/2003,166,420126,6689762,M28STX,28NS166044,E,-172.44682145200,60.33648238900
STMA,28,M28.0,1,15/06/2003,166,424106,6693762,M28NTX,28NS166001,S,-172.37626686400,60.37315166600
STMA,29,M29.0,1,09/06/2003,160,422350,6689887,M29STX,29NS160045,E,-172.40659964000,60.33803642500
STMA,29,M29.0,1,09/06/2003,160,425105,6692645,M29NTX,29NS160001,S,-172.35774003500,60.36331124900
STMA,30,M30.0,1,30/05/2003,150,424164,6689541,M30STX,30BC150002,E,-172.37362084700,60.33527402100
STMA,30,M30.0,1,30/05/2003,150,424269,6689604,105X,30BC150001,S,-172.37174337900,60.33585914800
STMA,30,M30.1,1,30/05/2003,150,424384,6689752,104X,30AB150019,B/E,-172.36971674900,60.33720909300
STMA,30,M30.1,1,30/05/2003,150,426249,6691616,M30NTX,30AB150001,S,-172.33662973700,60.35428454100
STMA,31,M31.1,1,09/06/2003,160,425960,6688969,M31STX,31BC160014,E,-172.34089020300,60.33047148000
STMA,31,M31.1,1,09/06/2003,160,427199,6690481,M31N2X,31BC160001,S,-172.31900652900,60.34426813500
STMA,31,M31.0,1,09/06/2003,160,427351,6690630,M31LNX,31AB160001,S,-172.31630737900,60.34563289400
STMA,31,M31.0,1,09/06/2003,160,427473,6690755,M31NTX,31AB160002,E,-172.31414274700,60.34677679700
STMA,32,M32.0,1,30/05/2003,150,427242,6688402,M32STX,32BC150008,E,-172.31747521100,60.32561386200
STMA,32,M32.0,1,30/05/2003,150,428353,6689514,M32NLX,32BC150001,S,-172.29776025300,60.33579349500
STMA,32,M32.1,1,09/06/2003,160,428492,6689651,M32LNX,32AB160001,S,-172.29529204400,60.33704781500
STMA,32,M32.1,1,09/06/2003,160,428595,6689756,M32NTX,32AB160002,E,-172.29346419900,60.33800850100
STMA,33,M33.0,1,30/05/2003,150,427635,6686661,M33STX,33BC150022,E,-172.30973521000,60.31005611300
STMA,33,M33.1,1,09/06/2003,160,429583,6688621,M33LNX,33AB160001,S,-172.27517506000,60.32799288600
STMA,33,M33.0,1,30/05/2003,150,429620,6688524,M33N2X,33BC150001,S,-172.27447129100,60.32712857900
STMA,33,M33.1,1,09/06/2003,160,429687,6688729,M33NTX,33AB160002,E,-172.27333006900,60.32898040100
STMA,34,M34.0,1,29/06/2003,180,428876,6685849,M34STX,34CB180001,S,-172.28699464600,60.30298649300
STMA,34,M34.0,1,29/06/2003,180,430826,6687741,M34NTX,34AB180001,S/B,-172.25236980000,60.32030731400
STMA,35,M35.0,1,29/06/2003,180,431151,6685889,SSLOPEX,35NS180011,E,-172.24585423100,60.30373772800
STMA,35,M35.0,1,29/06/2003,180,431595,6686339,M35NTX,35NS180001,S,-172.23797499800,60.30785231600
